2026-01-25T21:40:21.657+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\AdminPostController.class]
2026-01-25T21:40:21.661+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\AdminStudioController.class]
2026-01-25T21:40:21.664+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\AdminUserController.class]
2026-01-25T21:40:21.666+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\AuthController.class]
2026-01-25T21:40:21.668+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\BlogPostsController.class]
2026-01-25T21:40:21.670+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\FeaturedPostsController.class]
2026-01-25T21:40:21.673+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\HeadlinesPostsController.class]
2026-01-25T21:40:21.674+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\MediaPresignController.class]
2026-01-25T21:40:21.677+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\PaymentController.class]
2026-01-25T21:40:21.680+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\PortfolioController.class]
